GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_0.graphml,1,2,32,1633,5000,3367,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1.graphml,1,2,32,1633,5000,3367,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1000.graphml,0,0,0,1898,2500,602,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1001.graphml,0,0,0,1898,2500,602,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1002.graphml,5,40,18,166,2500,2334,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1003.graphml,5,40,18,166,2500,2334,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1004.graphml,5,10,98,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1005.graphml,5,10,96,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1006.graphml,0,0,0,324,2500,2176,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1007.graphml,0,0,0,324,2500,2176,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1008.graphml,0,4,0,1645,2500,855,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1009.graphml,256,768,33,818,4000,3182,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1012.graphml,8,8,0,345,2500,2155,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1013.graphml,0,0,0,1353,2500,1147,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1014.graphml,3,12,120,73,2500,2427,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1017.graphml,9,33,333,22161,25000,2839,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1021.graphml,33,33,33,22490,25000,2510,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1022.graphml,17,33,133,22161,25000,2839,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1023.graphml,15200,47432,321,567,25000,24433,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1024.graphml,33,33,33,22490,25000,2510,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1029.graphml,9,33,333,22161,25000,2839,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_103.graphml,31,62,32,94304,100000,5696,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1031.graphml,17,33,133,22161,25000,2839,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1032.graphml,22800,70800,449,567,25000,24433,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1033.graphml,8,16,24,765,2500,1735,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1034.graphml,8,16,24,765,2500,1735,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1035.graphml,2,2,32,1444,10000,8556,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1036.graphml,0,0,0,2735,5000,2265,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1037.graphml,0,7,239,0,2500,2500,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1038.graphml,0,7,239,0,2500,2500,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1039.graphml,0,0,0,526,2500,1974,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1040.graphml,5,15,0,106,2083,1977,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1041.graphml,5,15,0,106,2083,1977,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1042.graphml,0,0,0,2680,5000,2320,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1043.graphml,0,0,0,2680,5000,2320,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1044.graphml,7,32,211,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1045.graphml,7,32,211,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1046.graphml,5,15,59,80,2500,2420,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1047.graphml,5,15,59,80,2500,2420,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1048.graphml,5,15,59,80,2500,2420,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1049.graphml,31104,36288,120,117,2500,2383,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1050.graphml,1152,1344,40,405,2500,2095,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1052.graphml,1152,1344,40,405,2500,2095,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1053.graphml,31,93,0,1192,5000,3808,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1054.graphml,0,61,780,204,5000,4796,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1055.graphml,0,61,780,204,5000,4796,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1056.graphml,80,260,179,69,3333,3264,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1057.graphml,1,93,130,3,3333,3330,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1058.graphml,1,93,130,3,3333,3330,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1059.graphml,64,128,176,115,5000,4885,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1064.graphml,36,63,32,35,2857,2822,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1065.graphml,0,63,153,14,2500,2486,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1066.graphml,38,77,217,133,2500,2367,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1068.graphml,38,77,217,133,2500,2367,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1069.graphml,0,63,153,14,2500,2486,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_107.graphml,5,18,240,97466,100000,2534,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1070.graphml,16,36,16,1277,3333,2056,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1071.graphml,19,90,144,60,2857,2797,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1072.graphml,15,33,120,2203,5000,2797,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1073.graphml,0,0,0,2710,5000,2290,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1074.graphml,0,0,0,2710,5000,2290,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1075.graphml,1,6,48,22,2777,2755,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1076.graphml,0,23,0,225,1923,1698,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1079.graphml,19,80,56,0,7147,7147,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1081.graphml,0,23,0,225,1923,1698,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1082.graphml,0,100,32,525,3333,2808,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1083.graphml,0,0,0,2110,2500,390,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1084.graphml,0,0,0,2110,2500,390,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1085.graphml,0,0,0,2110,2500,390,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,5,20,151,240,2500,2260,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,1,160,245,2500,2255,0,**
