GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_0.graphml,1,5,146,1897,5000,3103,7.6075, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1.graphml,1,5,146,1897,5000,3103,0.0814, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1000.graphml,0,2,9,2140,2500,360,0.0453, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1001.graphml,0,2,9,2140,2500,360,0.0444, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1002.graphml,15,57,1195,166,2500,2334,0.4849, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1003.graphml,15,57,1195,166,2500,2334,0.5567, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1004.graphml,15,21,2575,490,2500,2010,0.191, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1005.graphml,15,21,1929,324,2500,2176,0.207, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1006.graphml,0,1,544,324,2500,2176,0.0754, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1007.graphml,0,1,544,324,2500,2176,0.0772, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1008.graphml,0,6,90,1645,2500,855,0.0114, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1009.graphml,512,1025,4214,1868,4000,2132,0.0342, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1012.graphml,12,13,64,345,2500,2155,0.0669, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1013.graphml,0,1,32,1353,2500,1147,0.0531, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1014.graphml,7,17,392,73,2500,2427,0.1243, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1017.graphml,45,165,1453,23409,25000,1591,0.1502, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1021.graphml,165,165,313,23409,25000,1591,0.0522, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1022.graphml,85,165,693,23409,25000,1591,0.1826, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1023.graphml,43200,62712,1403,896,25000,24104,0.2872, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1024.graphml,165,165,313,23409,25000,1591,0.0513, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1029.graphml,45,165,1453,23409,25000,1591,0.1625, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_103.graphml,124,159,451,98011,100000,1989,0.1484, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1031.graphml,85,165,693,23409,25000,1591,0.0901, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1032.graphml,64800,93600,1563,896,25000,24104,0.2758, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1033.graphml,16,25,64,1215,2500,1285,0.0585, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1034.graphml,16,25,64,1215,2500,1285,0.0567, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1035.graphml,6,9,272,3454,10000,6546,0.1514, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1036.graphml,0,3,72,4245,5000,755,0.0751, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1037.graphml,0,11,2046,183,2500,2317,0.1772, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1038.graphml,0,11,2046,183,2500,2317,0.27, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1039.graphml,0,2,89,807,2500,1693,0.0516, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1040.graphml,15,21,728,227,2083,1856,0.0979, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1041.graphml,15,21,728,227,2083,1856,0.0627, 
