GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_0.graphml,1,2,32,1633,5000,3367,16.6698,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1.graphml,1,2,32,1633,5000,3367,0.7703,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1000.graphml,0,0,0,1898,2500,602,0.3413,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1001.graphml,0,0,0,1898,2500,602,0.325,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1002.graphml,10,40,696,166,2500,2334,4.543, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1003.graphml,10,40,696,166,2500,2334,3.2381, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1004.graphml,5,10,98,61,2500,2439,1.4748,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1005.graphml,5,10,96,61,2500,2439,2.2797,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1006.graphml,0,0,0,324,2500,2176,0.5999,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1007.graphml,0,0,0,324,2500,2176,0.5999,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1008.graphml,0,4,0,1645,2500,855,0.0772,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1009.graphml,256,768,33,1061,4000,2939,0.2896,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1012.graphml,8,8,0,345,2500,2155,0.127,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1013.graphml,0,0,0,1353,2500,1147,0.3464,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1014.graphml,5,15,256,73,2500,2427,1.0557, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1017.graphml,9,33,333,22161,25000,2839,1.8158,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1021.graphml,33,33,33,22490,25000,2510,0.5101,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1022.graphml,17,33,133,22161,25000,2839,0.9929,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1023.graphml,15200,47432,321,567,25000,24433,2.3038,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1024.graphml,33,33,33,22490,25000,2510,0.4954,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1029.graphml,9,33,333,22161,25000,2839,1.8101,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_103.graphml,31,62,32,94304,100000,5696,1.7822,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1031.graphml,17,33,133,22161,25000,2839,1.0338,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1032.graphml,22800,70800,449,567,25000,24433,3.4334,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1033.graphml,8,16,24,765,2500,1735,0.2866,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1034.graphml,8,16,24,765,2500,1735,0.2902,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1035.graphml,2,3,16,1126,10000,8874,1.2597, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1036.graphml,0,0,0,2735,5000,2265,0.7865,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1037.graphml,0,8,1634,10,2500,2490,4.5349, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1038.graphml,0,8,1634,10,2500,2490,1.3928, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1039.graphml,0,0,0,526,2500,1974,0.3181,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1040.graphml,5,15,0,106,2083,1977,0.4509,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1041.graphml,5,15,0,106,2083,1977,0.4455,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1042.graphml,0,0,0,2680,5000,2320,0.2127,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1043.graphml,0,0,0,2680,5000,2320,0.3521,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1044.graphml,7,34,937,61,2500,2439,2.3077, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1045.graphml,7,34,937,61,2500,2439,1.3979, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1046.graphml,5,15,141,80,2500,2420,0.9403, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1047.graphml,5,15,141,80,2500,2420,0.9256, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1048.graphml,5,15,141,80,2500,2420,0.6378, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1049.graphml,31104,36288,232,274,2500,2226,4.9089, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1050.graphml,1152,1344,112,405,2500,2095,64.5076, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1052.graphml,1152,1344,112,405,2500,2095,70.4428, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1053.graphml,31,93,0,1192,5000,3808,0.5401,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1054.graphml,0,61,1004,194,5000,4806,15.344, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1055.graphml,0,61,1004,194,5000,4806,7.981, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1056.graphml,100,280,704,69,3333,3264,4.598, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1057.graphml,1,102,1752,3,3333,3330,26.2327, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1058.graphml,1,102,1752,3,3333,3330,19.7254, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1059.graphml,128,128,379,115,5000,4885,20.9163, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1064.graphml,36,72,112,69,2857,2788,1.4941, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1065.graphml,0,63,242,14,2500,2486,0.7709, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1066.graphml,38,42,262,65,2500,2435,1.6097,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1068.graphml,38,42,262,65,2500,2435,1.4944,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1069.graphml,0,63,242,14,2500,2486,0.834, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_107.graphml,5,18,240,97346,100000,2654,1.9009, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1070.graphml,16,36,16,1010,3333,2323,0.3872, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1071.graphml,19,90,304,60,2857,2797,1.6437, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1072.graphml,15,33,120,2203,5000,2797,0.8099,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1073.graphml,0,0,0,2710,5000,2290,2.1106,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1074.graphml,0,0,0,2710,5000,2290,2.2341,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1075.graphml,1,6,48,22,2777,2755,0.4413,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1076.graphml,0,23,0,225,1923,1698,0.176,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1079.graphml,19,80,56,0,7147,7147,1.6665,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1081.graphml,0,23,0,225,1923,1698,0.127,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1082.graphml,0,100,64,525,3333,2808,0.2058, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1083.graphml,0,0,0,2110,2500,390,0.3106,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1084.graphml,0,0,0,2110,2500,390,0.3518,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1085.graphml,0,0,0,2110,2500,390,0.3262,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1086.graphml,10,20,1014,240,2500,2260,1.72, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1087.graphml,0,1,160,245,2500,2255,1.0323,*
