GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_0.graphml,1,2,32,1633,5000,3367,79.9999237060547,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1.graphml,1,2,32,1633,5000,3367,19.0000534057617,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1000.graphml,0,0,0,1898,2500,602,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1001.graphml,0,0,0,1898,2500,602,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1002.graphml,5,40,18,166,2500,2334,117.999792098999,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1003.graphml,5,40,18,166,2500,2334,110.000133514404,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1004.graphml,10,10,260,61,2500,2439,44.0001487731934, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1005.graphml,10,10,225,61,2500,2439,42.0000553131104, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1006.graphml,0,0,0,324,2500,2176,8.00013542175293,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1007.graphml,0,0,0,324,2500,2176,9.99999046325684,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1008.graphml,0,4,0,1645,2500,855,0.999927520751953,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1009.graphml,256,768,33,1061,4000,2939,8.99982452392578,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1012.graphml,8,8,0,345,2500,2155,1.00016593933105,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1013.graphml,0,0,0,1353,2500,1147,3.00002098083496,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1014.graphml,5,12,184,73,2500,2427,364.999771118164,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1017.graphml,9,33,333,22165,25000,2835,2179.99982833862,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1021.graphml,33,33,33,22490,25000,2510,21.0001468658447,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1022.graphml,17,33,133,22161,25000,2839,80.9998512268066,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1023.graphml,15200,47432,321,567,25000,24433,66.9999122619629,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1024.graphml,33,33,33,22490,25000,2510,22.0000743865967,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1029.graphml,9,33,333,22165,25000,2835,2182.99984931946,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_103.graphml,31,62,32,94294,100000,5706,113.999843597412, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1031.graphml,17,33,133,22161,25000,2839,82.0000171661377,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1032.graphml,22800,70800,449,567,25000,24433,49.0000247955322,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1033.graphml,8,16,24,500,2500,2000,8.00013542175293, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1034.graphml,8,16,24,500,2500,2000,8.00013542175293, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1035.graphml,2,2,48,1444,10000,8556,100.99983215332,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1036.graphml,0,0,0,2735,5000,2265,36.0000133514404,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1037.graphml,0,8,952,0,2500,2500,60.999870300293,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1038.graphml,0,8,952,0,2500,2500,69.0000057220459,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1039.graphml,0,0,0,526,2500,1974,3.99994850158691,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1040.graphml,5,15,0,106,2083,1977,3.99994850158691,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1041.graphml,5,15,0,106,2083,1977,4.99987602233887,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1042.graphml,0,0,0,2680,5000,2320,0.999927520751953,*
