GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_0.graphml,1,2,32,1633,5000,3367,11.6071,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1.graphml,1,2,32,1633,5000,3367,0.749,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1000.graphml,0,0,0,1898,2500,602,0.3281,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1001.graphml,0,0,0,1898,2500,602,0.3284,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1002.graphml,10,40,696,166,2500,2334,4.6439, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1003.graphml,10,40,696,166,2500,2334,3.3552, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1004.graphml,5,10,98,61,2500,2439,1.4617,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1005.graphml,5,10,96,61,2500,2439,2.2141,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1006.graphml,0,0,0,324,2500,2176,0.6589,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1007.graphml,0,0,0,324,2500,2176,0.6814,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1008.graphml,0,4,0,1645,2500,855,0.1006,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1009.graphml,256,768,33,1061,4000,2939,0.2797,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1012.graphml,8,8,0,345,2500,2155,0.1907,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1013.graphml,0,0,0,1353,2500,1147,0.3909,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1014.graphml,5,15,256,73,2500,2427,1.1435, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1017.graphml,9,33,333,22161,25000,2839,1.7288, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1021.graphml,33,33,33,22490,25000,2510,0.5327,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1022.graphml,17,33,133,22161,25000,2839,0.9822,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1023.graphml,15200,47432,321,567,25000,24433,2.1065,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1024.graphml,33,33,33,22490,25000,2510,0.5348,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1029.graphml,9,33,333,22161,25000,2839,1.8036, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_103.graphml,31,62,32,94304,100000,5696,1.0738,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1031.graphml,17,33,133,22161,25000,2839,1.0143,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1032.graphml,22800,70800,449,567,25000,24433,2.105,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1033.graphml,8,16,24,765,2500,1735,0.2361,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1034.graphml,8,16,24,765,2500,1735,0.2232,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1035.graphml,2,3,16,1126,10000,8874,1.2544, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1036.graphml,0,0,0,2735,5000,2265,0.6114,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1037.graphml,0,8,1634,10,2500,2490,1.4767, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1038.graphml,0,8,1634,10,2500,2490,1.4359, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1039.graphml,0,0,0,526,2500,1974,0.3323,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1040.graphml,5,15,0,106,2083,1977,0.4059,**
