Path,# vertices,# edges,# paths,# path constr,# unique path constr,path time,# cycles,# cycles constr,# unique cycle constr,cycle time,gurobi time,duration time
..\DataSets\DelayGraph_0.graphml,91,106,118,0,0,6.000041961669922,1,1,1,6.999969482421875,8.999824523925781,21.999835968017578,
..\DataSets\DelayGraph_1.graphml,91,106,118,0,0,6.000041961669922,1,1,1,6.999969482421875,8.00013542175293,21.000146865844727,
..\DataSets\DelayGraph_2.graphml,120,134,88,19,2,7.999897003173828,3,3,3,18.000125885009766,16.99995994567871,42.999982833862305,
..\DataSets\DelayGraph_4.graphml,118,138,677,0,0,44.00014877319336,5,5,5,13.000011444091797,42.999982833862305,100.00014305114746,
..\DataSets\DelayGraph_9.graphml,61,69,80,0,0,3.999948501586914,6,6,6,3.999948501586914,11.999845504760742,19.99974250793457,
..\DataSets\DelayGraph_13.graphml,218,261,8685,0,0,788.9997959136963,24,24,24,42.00005531311035,1323.9998817443848,2154.9997329711914,
..\DataSets\DelayGraph_15.graphml,120,134,88,19,2,6.999969482421875,3,3,3,18.000125885009766,16.000032424926758,41.0001277923584,
..\DataSets\DelayGraph_16.graphml,83,86,54,2,2,0.0,0,0,0,8.999824523925781,8.00013542175293,16.99995994567871,
..\DataSets\DelayGraph_18.graphml,145,167,801,986,290,66.99991226196289,5,5,5,16.99995994567871,158.99991989135742,242.99979209899902,
..\DataSets\DelayGraph_19.graphml,145,167,801,986,290,65.99998474121094,5,5,5,22.00007438659668,161.99994087219238,250.0,
..\DataSets\DelayGraph_20.graphml,212,250,334,552,408,22.00007438659668,22,14,14,33.99991989135742,88.00005912780762,144.00005340576172,
..\DataSets\DelayGraph_23.graphml,212,250,334,552,408,19.999980926513672,22,14,14,35.00008583068848,85.99996566772461,141.00003242492676,
..\DataSets\DelayGraph_25.graphml,128,150,96,0,0,5.000114440917969,11,7,7,17.999887466430664,9.000062942504883,32.000064849853516,
..\DataSets\DelayGraph_27.graphml,83,86,54,2,2,0.9999275207519531,0,0,0,9.000062942504883,6.000041961669922,16.000032424926758,
..\DataSets\DelayGraph_35.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_36.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
..\DataSets\DelayGraph_37.graphml,8,6,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
